"raw_title","normalized_title","notes"
"Sonata No. 18 in E-flat Major, op. 31, no. 3 (""The Hunt"")","sonata no. 18 in e-flat major, op. 31, no. 3 (""the hunt"")","candidate_page_normalization_preserves_raw_title"
"Etude in A-flat Major, op. 25, no. 1 (""Aeolian Harp"")","etude in a-flat major, op. 25, no. 1 (""aeolian harp"")","candidate_page_normalization_preserves_raw_title"
"Etude in C-sharp Minor, op. 25, no. 7","etude in c-sharp minor, op. 25, no. 7","candidate_page_normalization_preserves_raw_title"
"Etude in G-sharp Minor, op. 25, no. 6","etude in g-sharp minor, op. 25, no. 6","candidate_page_normalization_preserves_raw_title"
"Islamey: Oriental Fantasy","islamey: oriental fantasy","candidate_page_normalization_preserves_raw_title"
"Fantasie in C Major, D. 760 (""Der Wanderer"")","fantasie in c major, d. 760 (""der wanderer"")","candidate_page_normalization_preserves_raw_title"
"Piano Concerto No. 1 in E-flat Major","piano concerto no. 1 in e-flat major","candidate_page_normalization_preserves_raw_title"
"Nun komm, der Heiden Heiland, BWV 659","nun komm, der heiden heiland, bwv 659","candidate_page_normalization_preserves_raw_title"
"Sonata No. 18 in D Major, K. 576","sonata no. 18 in d major, k. 576","candidate_page_normalization_preserves_raw_title"
"Réminiscences de Norma","réminiscences de norma","candidate_page_normalization_preserves_raw_title"
"Berceuse élégiaque","berceuse élégiaque","candidate_page_normalization_preserves_raw_title"
"Andante and Variations in F Minor, Hob. XVII:6","andante and variations in f minor, hob. xvii:6","candidate_page_normalization_preserves_raw_title"
"Etude No. 2 ""Sequenzen""","etude no. 2 ""sequenzen""","candidate_page_normalization_preserves_raw_title"
"Ba Ban","ba ban","candidate_page_normalization_preserves_raw_title"
"French Suite No. 3 in B Minor, BWV 814","french suite no. 3 in b minor, bwv 814","candidate_page_normalization_preserves_raw_title"
"Suite for Piano, op. 25","suite for piano, op. 25","candidate_page_normalization_preserves_raw_title"
"Sonata in A Major, op. posth. 120","sonata in a major, op. posth. 120","candidate_page_normalization_preserves_raw_title"
