performance_id,candidate_id,edition_id,round_id,program_label,performance_status,source_url,notes
98,17,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/philipp-lynov,candidate_page_listing_status_by_reached_round
99,17,1,3,Semifinal Round - Recital,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/philipp-lynov,candidate_page_listing_status_by_reached_round
100,17,1,4,Semifinal Round - Mozart Concerto,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/philipp-lynov,candidate_page_listing_status_by_reached_round
101,17,1,5,Final Round - Concerto 1,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/philipp-lynov,candidate_page_listing_status_by_reached_round
102,17,1,6,Final Round - Concerto 2,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/philipp-lynov,candidate_page_listing_status_by_reached_round
103,18,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonathan-mamora,candidate_page_listing_status_by_reached_round
104,18,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonathan-mamora,candidate_page_listing_status_by_reached_round
105,18,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonathan-mamora,candidate_page_listing_status_by_reached_round
106,18,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonathan-mamora,candidate_page_listing_status_by_reached_round
107,18,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonathan-mamora,candidate_page_listing_status_by_reached_round
108,18,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jonathan-mamora,candidate_page_listing_status_by_reached_round
109,19,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/callum-mclachlan,candidate_page_listing_status_by_reached_round
110,19,1,2,Quarterfinal Round,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/callum-mclachlan,candidate_page_listing_status_by_reached_round
111,19,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/callum-mclachlan,candidate_page_listing_status_by_reached_round
112,19,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/callum-mclachlan,candidate_page_listing_status_by_reached_round
113,19,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/callum-mclachlan,candidate_page_listing_status_by_reached_round
114,19,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/callum-mclachlan,candidate_page_listing_status_by_reached_round
115,20,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/evren-ozel,candidate_page_listing_status_by_reached_round
116,20,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/evren-ozel,candidate_page_listing_status_by_reached_round
117,20,1,3,Semifinal Round - Recital,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/evren-ozel,candidate_page_listing_status_by_reached_round
118,20,1,4,Semifinal Round - Mozart Concerto,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/evren-ozel,candidate_page_listing_status_by_reached_round
119,20,1,5,Final Round - Concerto 1,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/evren-ozel,candidate_page_listing_status_by_reached_round
120,20,1,6,Final Round - Concerto 2,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/evren-ozel,candidate_page_listing_status_by_reached_round
121,21,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/chaeyoung-park,candidate_page_listing_status_by_reached_round
122,21,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/chaeyoung-park,candidate_page_listing_status_by_reached_round
123,21,1,3,Semifinal Round - Recital,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/chaeyoung-park,candidate_page_listing_status_by_reached_round
124,21,1,4,Semifinal Round - Mozart Concerto,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/chaeyoung-park,candidate_page_listing_status_by_reached_round
125,21,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/chaeyoung-park,candidate_page_listing_status_by_reached_round
126,21,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/chaeyoung-park,candidate_page_listing_status_by_reached_round
127,22,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/aristo-sham,candidate_page_listing_status_by_reached_round
128,22,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/aristo-sham,candidate_page_listing_status_by_reached_round
129,22,1,3,Semifinal Round - Recital,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/aristo-sham,candidate_page_listing_status_by_reached_round
130,22,1,4,Semifinal Round - Mozart Concerto,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/aristo-sham,candidate_page_listing_status_by_reached_round
131,22,1,5,Final Round - Concerto 1,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/aristo-sham,candidate_page_listing_status_by_reached_round
132,22,1,6,Final Round - Concerto 2,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/aristo-sham,candidate_page_listing_status_by_reached_round
133,23,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/kotaro-shigemori,candidate_page_listing_status_by_reached_round
134,23,1,2,Quarterfinal Round,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/kotaro-shigemori,candidate_page_listing_status_by_reached_round
135,23,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/kotaro-shigemori,candidate_page_listing_status_by_reached_round
136,23,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/kotaro-shigemori,candidate_page_listing_status_by_reached_round
